Soma de casos_dengue,Nome
1019958,RIO DE JANEIRO
954790,BELO HORIZONTE
693734,GOIÂNIA
323814,FORTALEZA
301816,CAMPINAS
261892,VITÓRIA
217724,CAMPO GRANDE
216744,RECIFE
212260,SÃO JOSÉ DO RIO PRETO
193398,RIBEIRÃO PRETO
187443,SÃO PAULO
172852,NATAL
168318,SANTOS
137415,ILHÉUS-ITABUNA
127189,MANAUS
125176,BRASÍLIA
110587,UBERLÂNDIA
106496,SALVADOR
104117,MACEIÓ
100246,IPATINGA
98458,ENTORNO DE BRASÍLIA
94055,RIO BRANCO
88800,SUDOESTE DE GOIÁS
87254,SOROCABA
78561,JUIZ DE FORA
77852,SETE LAGOAS
76600,ARARAQUARA
73918,VALE DO PARAÍBA FLUMINENSE
70609,CUIABÁ
70190,DIVINÓPOLIS
68877,ANÁPOLIS
68791,SÃO JOSÉ DOS CAMPOS
66256,CACHOEIRO DE ITAPEMIRIM
65365,BAURU
62650,TERESINA
61066,DOURADOS
58811,JOÃO PESSOA
57572,ARAPIRACA
56474,CARAGUATATUBA
55378,VALE DO IPOJUCA
54371,LAGOS
54317,PORTO NACIONAL
53798,BIRIGUI
53763,IRECÊ
53746,FEIRA DE SANTANA
53732,MONTES CLAROS
53625,PRESIDENTE PRUDENTE
53508,OSASCO
52351,GUARULHOS
51887,FOZ DO IGUAÇU
51185,LIMEIRA
50006,JABOTICABAL
49469,CAMPOS DOS GOYTACAZES
49326,LONDRINA
49198,BAÍA DA ILHA GRANDE
47073,ARAÇATUBA
45239,ANDRADINA
44897,GOVERNADOR VALADARES
43189,MARINGÁ
42031,BELÉM
41830,UBERABA
41093,MOJI MIRIM
40726,UBÁ
40486,MEIA PONTE
38917,CRUZEIRO DO SUL
38452,MATA SETENTRIONAL PERNAMBUCANA
37943,SÃO JOAQUIM DA BARRA
37414,ITAPERUNA
37349,PARANAVAÍ
37053,JEQUIÉ
36452,PORTO SEGURO
36337,SINOP
34742,AGLOMERAÇÃO URBANA DE SÃO LUÍS
34626,MARÍLIA
34076,GUARATINGUETÁ
33648,SERRINHA
33477,ARACAJU
32694,CURVELO
32650,PIRACICABA
32564,CERES
32231,BOM DESPACHO
32045,MACAPÁ
31531,CATANDUVA
31185,RIO CLARO
31087,TEÓFILO OTONI
30753,ASSIS
30392,TRÊS LAGOAS
29982,JACOBINA
29344,BOA VISTA
29071,PARACATU
28997,CARIRI
27465,JALES
27150,PATOS DE MINAS
26881,FRUTAL
